name,avg_price,recommended_dishes
剪花娘子·凉皮(上海五角场万达店),￥35,老潼关肉夹馍、油泼BB面、秘制凉皮
阿佑鲜烫牛肉米线(五角场万达广场店),￥20,云南炸酱米线、牛筋丸、网红炸蛋
石膳家·石锅拌饭(国华广场店),￥34,泡菜煮拉面、肥牛辣豆腐汤、芝士牛肉石锅拌饭
大米先生(城市集市合生汇店),￥29,农家小炒肉、糖醋排骨、小炒黄牛肉
米村拌饭(太平洋森活天地店),￥33,烤牛肉拌饭、非遗石锅拌饭、香辣鱿鱼
嘻小北·兰州清汤牛肉面(太平洋森活天地店),￥40,兰州清汤牛肉面、牛肉面、羊肉
子弹面馆(国霞路店),￥30,酱爆猪肝面、雪菜黄鱼面、炸猪排
满巍明生炸鸡架(五角场合生汇店),￥30,招牌生炸鸡架、生炸鸡腿肉、超级鸡叉骨
港岛黄记,￥34,蜜汁叉烧、烧鸭、双拼饭
曲印丰.锅贴生煎小笼,￥24,上海锅贴、经典鲜肉小馄饨、生煎
FOODBOWL超级碗(太平洋森活天地店),￥37,蜜汁鸡腿超级碗、果木烟熏鸡胸超级碗、香煎三文鱼超级碗
喜米香港茶餐厅(太平洋森活天地店),￥40,黯然销魂叉烧蛋饭小份、招牌炸猪排煎蛋饭、港式柠檬茶
大食代美食广场(复旦管院店),￥28,胡一手牛肉大锅贴、青花椒魚(巴沙魚)、欣湘荟杀猪粉
RISO(百联又一城店),￥40,核桃蔓越莓恰巴塔、黑芝麻贝果、海盐羊角
陳香貴·兰州牛肉面(国正中心店),￥32,牛骨清汤兰州牛肉面、钢钎羊肉串、酸菜牛肉面
小满手工粉(上海太平洋森活天地店),￥33,一口小酥肉、古早红糖糍粑、金汤酸菜鱼片手工粉
春风松月楼(合生汇店),￥22,松子香菇烧麦、百年经典素菜包、豆沙
莉莲蛋挞(百联又一城店),￥23,马铃薯芝士蛋挞、特色葡式蛋挞、流心芝士挞
Potato Corner(上海杨浦太平洋森活天地店),￥27,酸奶油洋葱、奶香芝士、卷卷薯
阪枝屋·深海鱼糕(合生汇店),￥30,韩式鱿鱼炒年糕、三彩团子、花样年华深海鱼糕
筋的亨兰州纯汤牛肉面(五角场店),￥25,筋的亨招牌牛肉面、筋的亨牛肉拉面、五香卤鸡蛋
醇朋友紫菜包饭(创智天地店),￥34,经典紫菜包饭、韩式炒年糕、牛肉乌冬面
复旦点心部,￥29,双皮奶、爆浆芝士小贝、烤肠
鲤李炖汤牛肉,￥33,福鼎肉燕、泉州老三样、安海菜粿
沙粉粉面庄,￥32,羊肉烩面、超级无敌卤肉拼盘、豆角肉丝卤面
家味螺蛳粉&烤鱼(五角场店),￥31,原味螺蛳粉生粉、猪脚螺蛳粉、炸腐竹
Potato Corner(上海百联ZX造趣场店),￥28,酸奶油洋葱、浓郁烧烤、奶香芝士
福福饼店·金牌酥皮菠萝包(五角场苏宁广场店),￥20,金牌酥皮菠萝包、芝士肠仔包、咸蛋黄流沙包
刘文祥麻辣烫(五角场店),￥30,老式麻辣烫
BONJOUR本就(上海大学路uni店),￥26,浮云鲜牛乳、芭乐柠檬茶、黑金芝麻牛乳
喜家德虾仁水饺(太平洋森活天地店),￥33,喜三鲜水饺、西芹鲜肉水饺、黑芝麻红豆丸子
马记永·兰州牛肉面(杨浦国华广场店),￥36,大片牛腱子兰州牛肉面、钢钎羊肉、红枣茶
麦当劳(杨浦创智天地下壹站店),￥27,薯条、麦辣鸡腿堡、麦辣鸡翅
M Stand(百联又一城店),￥32,生椰dirty、咸芝士拿铁、冰摇香橙美式
宋小琪老街麻辣烫(五角场店),￥31,经典麻辣烫、童年淀粉肠、番茄口味麻辣烫
一拳萝卜(五角场店),￥35,酱香萝卜皮、酸甜萝卜
广东牛杂铺(杨浦店),￥36,手打潮汕牛肉丸粉、美味牛肚粉、牛宽肠粉
阿佑鲜烫牛肉米线(三门路店),￥21,云南炸酱米线、鲜烫牛吊龙、网红炸蛋
赵同壹山西刀削面,￥24,山西油泼刀削面、招牌传统猪肉刀削面、红烧牛肉刀削面
和米堂(百联又一城店),￥21,原味章鱼小丸子、咸蛋黄培根章鱼烧、培根芝士章鱼丸子
复旦大学-本部食堂,￥23,双皮奶、红烧肉、糖醋小排
味千拉面(又一城店),￥39,大骨浓汤猪软骨拉面、浓厚豚骨面特选、日式手工煎饺
少成面馆特色油葱手擀面·花式海鲜手擀面(国定路店),￥31,花蛤油葱面、水煮牛里脊汤面、鲜虾花蛤汤面
赛百味SUBWAY(创智天地淞沪路店),￥29,金枪鱼三明治、黑胡椒厚切牛排百味卷、照烧鸡三明治
成都你六姐·牛肉冒菜(上海百联又一城店),￥39,牛肉冒菜
陕王爷西北小吃(上海国华店),￥30,红烧肉biangbiang油泼扯面、腊汁猪腿肉夹馍、黄米凉糕
失控猫·烧肉饭·拉面(太平洋森活天地店),￥30,炙烤五花烧肉饭、安格斯肥牛烧肉饭、章鱼小丸子
摔浇锅锅现炒浇头面(五角场店),￥21,川魂盐帮回锅肉拌面、豆角红烧肉焖面、林间野菌鸡汤面
闷闷嗲面馆(五角场店),￥29,狮子头、爆汁虎皮蛋、炸猪排
老乡鸡(上海五角场万达广场店),￥27,肥西老母鸡汤、农家小炒肉、经典毛豆烧鸡
肯德基(五角场百联ZX店),￥21,芝士猪柳帕尼尼、香辣鸡翅、生炸大鸡腿串
麦伴伴爆炒浇头面政通路,￥25,藤椒鸡柳拌面、香辣龙虾尾拌面、鹿茸菇小炒肉拌面
食其家·牛丼咖喱(太平洋森活天地店),￥32,牛丼饭、日式爽滑蒸蛋、温泉蛋牛肉鳗鱼丼
光头牛羊肉汤面馆•火锅•驴肉(国权北路店),￥37,牛大骨、红烧羊肉粉丝汤、羊肉拌面
粒上皇(太平洋森活天地店),￥23,粒上皇糖炒栗子、冰栗仁、粒上皇霜糖山楂
四海游龙(国华广场店),￥30,招牌手工原味锅贴、招牌酸辣汤、黄金双拼
食書集Cook&Book,￥39,黑松露红烧肉、白斩鸡、蒜蓉开片虾
弄堂里额双档(三门路店),￥20,双档粉丝汤、猪油渣皮蛋小馄饨（隐藏菜单）、小馄饨
