name,avg_price,recommended_dishes
七欣天香辣蟹火锅(上海杨浦国定东路店),￥115,波格力蟹、香辣船蟹锅、自助调料水果
南粤春·粤菜·海鲜·宴会(蓝天宾馆店),￥181,芝士焗波斯顿龙虾、金牌烤乳猪、南粤春全家福
佰草果·云贵菜,￥124,牛魔王拌饭（微辣）、现切黄牛肉、昂刺鱼
ibarrel爱杯·bistro&brunch(大学路店),￥124,芝士薯条配黑松露酱、烤肠拼盘、黑松露菌菇葱油拌面
阿三浙鲜馆·烟火小炒·夜宵(五角场店),￥109,油浸东海带鱼、熟醉大头虾、白切阉鸡
CRAZYONES西班牙海鲜饭(上海合生汇店),￥100,经典西班牙海鲜饭、蜜汁迷迭香烤鸡翅、黑松露烤蘑菇
杨府霸道私房火锅(国定路店),￥200,霸道鲜活牛蛙、霸道空运绿色毛肚、霸道蟹肉棒
福苗小骆驼烧烤(五角场店),￥86,招牌烤肉筋、古法熏肉大饼、涮菜
启东8号海鲜(五角场店),￥120,油浸吕四带鱼、海鲜大咖、启东农户白斩鸡
坠入Bistro·贵州夺夺粉火锅(大学路店),￥119,豆腐丸子、怪噜饭、夺夺粉锅底
醉庐·新上海菜(合生汇店),￥122,本帮熏鱼、石锅蟹粉豆腐、一品元宝虾
李氏宁夏牛羊肉涮锅(学府街店),￥106,热气羊肉、热气牛肉、烤羊肉串
费大厨辣椒炒肉(五角场万达店),￥82,费大厨辣椒炒肉、大王冰柠檬茶、皮蛋青椒擂茄子
锦湘缘酒楼(黄兴路店),￥99,双味鱼头、辣椒炒肉、小炒黄牛肉
朝和·炉端烧·烧鸟,￥154,朝和厚烧牛舌、京葱鸡腿肉、和牛海胆塔塔
红盔甲·小龙虾(五角场店),￥179,精品冰镇龙虾、精品酒醉龙虾、蒜蓉味龙虾
老北京碳锅涮羊肉(吉浦店),￥107,自制羊肉料、羊蝎子、十三香龙虾
厨创东北传家菜·夜宵(五角场万达店),￥82,排骨豆角一锅出、厨创大拉皮、地三鲜
五角场凯悦·中厨房,￥264,豉油清蒸笋壳鱼、XO酱芦笋炒澳洲带子、江南熏鱼
紫宴壹号,￥198,金牌牛气冲天、至尊佛跳墙、金牌北京烤鸭
四萬十·烧鸟酒场,￥288,紫苏梅肉、鸽腿鸽胸、烤活杀鳗鱼串
江西菜馆(国济路店),￥87,爆炒腰花、南昌炒粉、江西鸡爪
黑土屯·老朴家铁锅炖(政民路店),￥88,大铁玉米饼、特色大拉皮、铁锅炖排骨鸡
荷塘秋月·本帮江浙菜(国权路店),￥107,特色烤鸭、蜂蜜芥末明虾球、荔浦芋头
逸馥荟(合生汇店),￥198,北京果木烤鸭、江南文火雪花牛肉、铁观音布丁
蚝牛啤·生蚝·潮汕烧烤海鲜火锅(五角场店),￥100,厦门捞汁海蛎、招牌乳山生蚝刺身精品、海派熟醉大虾
红料理|串串有瘾·烧烤(复旦店),￥84,老妈蹄花、三鲜冰粉、冒脑花
鮨处晓月(大学路别馆店),￥460,海胆、牡丹虾、金枪鱼寿司
SITE Wine&Dine餐吧(五角场店),￥99,嫩煎小米龙佐油醋汁芝麻菜、牛肉烤肠拼盘、西班牙蒜香大虾
Mix·融餐厅,￥123,响油鳝糊、徽州腌鲜臭鳜鱼、珍鲜八公山豆腐
虹料理(五角场店),￥316,厚切三文鱼、海鳌虾、牡丹虾
海底捞火锅(五角场万达店),￥126,番茄锅底、招牌虾滑、捞派滑牛肉
鱼酷活鱼烤鱼(五角场第一食品店),￥85,荔枝香辣烤鱼、川椒小酥肉、手工红糖糍粑
禾合居·新派融合粤菜,￥280,原盅椰皇·蟹黄花胶、一颗柠檬、新派宫保龙虾
上海芸楼轩饭店(大柏树店),￥128,花蛤炒猪肝、椒盐基围虾、干锅鸡杂
小厨人家(关山路店),￥85,鱼头汤、石锅香芋、红烧肉
王氏阳澄湖大闸蟹(杨浦旗舰店),￥209,精品大闸蟹、公蟹、2.5两母蟹
BOHEMIA波西米亚(大学路店),￥145,黑松露披萨、菲力牛排、罗勒贻口贝
佬肥猫(五角场万达店),￥86,骨头有味道的酱鸭、外婆红烧肉、石锅土豆肥牛
松鱼亭·和牛烧肉(上海首店),￥280,和牛拼盘、酱汁牛肋条、极上和牛腹心肉
复旦南苑餐厅,￥87,铁板桂花香芋、香葱烤大虾、老上海熏鱼
名汇粤菜馆(黄兴路店),￥271,芥末牛肉、美极元宝虾、美极百灵菇
青鹤谷(五角场直营店),￥168,宫中拌猪排、五花肉、拌牛排
珍御轩新加坡泰国村酒楼(五角场店),￥398,沙锅鱼翅、泰国村砂锅银鳕鱼、砂煲蟹肉鲍翅
常赢三兄弟·清真涮肉(五角场店),￥100,羊肉串、金牌羊上脑、鲜切半边云
缪斯MUSE酒吧(杨浦店),￥127,乔恩特威士忌、特醇威士忌、水果拼盘
罗福索love&salt牛排馆(大学路店),￥306,惠灵顿牛排、碳烤低温牛舌、和牛T骨牛排
老土灶绿色农家菜(国定东路店),￥86,干锅虾、安徽臭鲑鱼、农家香辣小公鸡
杨府·徽宴(虹口店),￥179,杨府臭桂鱼、碳火臭豆腐肥肠煲、杨府三年老公鸡炖六头鲍鱼
杨记齐齐哈尔烤肉(五角场店),￥90,招牌肥牛、酸菜肥牛、东北大拉皮
和它·交个朋友·狗咖猫咖爬宠刺猬鸭子(大学路店),￥93,炸鸡、巧克力、紫菜
徽家厨娘(国权北路店),￥104,臭鳜鱼、仔鸡烧毛豆、干锅鹅掌
汇品会(硕和生活广场店),￥296,松叶蟹蒸蛋、清蒸南麂岛黄鱼表仁捞、鱼宴全家福
盛棠宴,￥330,小龙虾、日本牛排、红烧肉
水彩私家馆,￥82,烤鱼、经典香辣、经典香辣草鱼
太二酸菜鱼(国华广场店),￥89,老坛子酸菜鱼、芥末虾仁球、乱刀双椒炒牛肉
一川二水•轻川味(江湾里MEET678店),￥145,鱼子酱脆皮松板肉、火焰芝麻鸡、极品海鲜毛血旺
蚝客宴自助料理(上海百联又一城店),￥156,三文鱼、生蚝、M9和牛
王富贵火锅(五角场店),￥113,鲜活大鲍鱼、鲜活竹蛏王、鲜活黑虎虾
时春·食春(合生汇店),￥85,扬州鸡汤煮干丝、淮扬清炖狮子头、靖江蟹黄大汤包
贵州大黄牛肉火锅(四平路店),￥87,涮牛肉、牛肉丸、经典清汤锅
山里亲戚·小堂春早,￥90,徽州非遗大师臭鳜鱼、桂花酒酿小圆子、问政山竹笋炒烟熏腊味
