name,avg_price,recommended_dishes
UH祐禾(上海五角场万达店),￥43,红豆肉粉松、超级核桃马里奥、枫糖吐司
猫十九·黑鱼花(国权路店),￥69,黑鱼花、鱼香肉丝、渣渣土豆
农小锅(太平洋森活天地店),￥47,单人麻辣锅、蛋饺、鱼豆腐
晋荣盛·山西味(民府路店),￥66,传统铁锅焖面、山西过油肉、干炸鲜蘑
Peet's Coffee皮爷咖啡(大学路店),￥41,澳洲小白、拿铁咖啡、经典栗子蛋糕
LaBamba拉芭玛,￥68,牛肉煎薄饼、美式牛肉汉堡、鸡肉玉米片
苏小柳点心·手作小笼包(百联又一城分院),￥59,招牌笋丝黄鱼春卷、南晚粳米海鲜泡饭、白切鸡
领鲜说·一人食自助小火锅(创智天地店),￥44,胡椒猪肚鸡有料锅、腌笃鲜有料锅、鲜切羊后腿肉
南门口贵阳烧烤·火锅(五角场店),￥73,豆米火锅、学校门口拌土豆、特色小鲜肉
盖饭邦·长沙菜馆(城市集市合生汇店),￥59,经典小炒黄牛肉（香菜版）、招牌辣椒炒肉盖码饭、金钱蛋
清松 日式食堂(大学路店),￥64,鳗鱼鹅肝饭、海苔鱼竹轮、寿喜锅
多多关照无声店(大学路店),￥62,关东煮、酱烤鸡肉丸子、海鲜关东煮锅物
Smokey Project研熏计划·果木烟熏(创智天地店),￥79,果木烟熏牛后胸肉、手撕烟熏牛肉塔可、招牌烟熏牛肉堡
山海灶·铁锅炖·东北菜(五角场店),￥75,铁锅炖笨鸡、铁锅炖排骨、五彩大拉皮
裕兴记·蟹黄面馆(五角场店),￥49,蟹粉虾仁面、蟹黄小笼、秃黄油面
百山家·山野延边围炉火锅,￥75,山野蘑菇小鸡锅、手切吊龙、山野蘑菇鲜鸡锅
海金滋(五角场万达店),￥65,蟹粉蛋、葱烤大排、椒盐排条
小菜园新徽菜(上海杨浦五角场万达店),￥73,地锅鸡、石板蒜蓉虾、农家红烧肉
CanCans,￥51,蜜瓜刨冰、草莓奥利奥刨冰、原味芝士蛋糕
七八冷面·延边朝鲜族美食(百联又一城店),￥54,招牌现压冷面、锅包肉、五花肉石锅拌饭
云海肴·汽锅鸡·云南代表菜(百联又一城店),￥77,云海肴汽锅鸡、鸡丝凉米线、傣味香茅草烤罗非鱼
迷你椰·泰式大排档(城市集市合生汇店),￥61,泰式传统冬阴功汤、泰式传统黄咖喱鸡、Mango芒果糯米饭
GoGo Bakery,￥41,杏仁可颂、原味可颂、肉桂卷
一围肥牛肉小火锅(五角场苏宁店),￥45,阿根廷牛上脑、阿根廷雪花肥牛、美国雪花奶香肥牛
沪上淄味·淄博烧烤(五角场店),￥80,特色鲜羊肉大串、淄博小饼、特色鲜牛肉大串
望湘园·湖南印象(巴黎春天五角场店),￥80,老坛剁椒鱼头王、小炒黄牛肉、湘西霸王牛蛙（小份）
湘芙蓉·长沙土菜(政恒路店),￥60,八秒小炒黄牛肉、擂辣椒皮蛋、招牌鸳鸯鱼头王小份
温暖你的猪(创智店),￥65,超级小炒肉、湘味手撕包菜、手切刀豆丝
肥妈餐室(江湾里店),￥65,柱侯牛腩煲、马交咖喱牛腩煲、街边档咖喱鱼蛋
胡子大厨·超级小炒肉(合生汇店),￥55,超级小炒肉、砂锅刀豆丝、手撕包菜
柒货山野小馆,￥70,赣南盐菜焖猪蹄、青花椒爆牛蛙、桂花小番茄子
珑一面(杨浦首店),￥48,招牌豚骨浓汤酱油面、特製猪软骨浓汤面、唐扬鸡块（大份）
精悦蓉(杨浦合生广场店),￥50,年糕、红糖糍粑、藕片
欧记餐饮店,￥43,福建海鲜卤面、福建炒米粉、鲈鱼
张太太的餐厅,￥61,泰式咖喱鸡肉饭、奶油培根蘑菇面、限定幸福熔岩巧克力
日本料理神拉面,￥60,豚骨拉面、鸡肉串、酱油拉面
邻里川菜馆(国定路店),￥70,水煮牛肉、咸蛋黄鸡中翅、冰粉
鮨士道寿司(合生汇店),￥51,帝王蟹柳、鲜虾牛油果卷、全家福
味千拉面(合生汇店),￥48,大骨浓汤猪软骨拉面、铁板猪排滑蛋、麻辣牛肉拉面
呷哺呷哺(五角场合生汇店),￥50,什锦鲜蔬拼盘、呷哺人气羔羊肉、珍馔牛上脑
81BAKERY(大学路店),￥42,红豆碱水包、巴伐利亚碱水包、拿铁
六六广东肠粉,￥43,招牌沙姜鸡腿饭、虾仁牛肉鸡蛋肠粉、招牌港式奶茶
蘭·LAN COFFEE(上海大学路店),￥41,一豆双喝combo、桂花酒酿美式、黄油Dirty
湘芙蓉·长沙土菜(国霞路店),￥60,十八秒小炒黄牛肉、国民辣椒炒肉、湖南白玉丝瓜
GULOOO GOURMET BURGER(大学路店),￥61,安格斯厚牛芝士汉堡、番茄大粒牛肉酱汉堡、带皮薯条
萨莉亚意式餐厅(五角场第一食品店),￥49,鸡翅、金枪鱼色拉、畅饮
必胜客(五角场万达店),￥54,鸡翅、超级至尊比萨（芝心普通装）、牛排
清真·晨羊齐齐哈尔自助烤肉(武川路店),￥71,酸菜肥牛、烤面包、烤牛肠
陈李北调儿铜炉鸡锅(五角场店),￥50,铜炉鸡锅、大虾鸡锅、牛蛙鸡锅
肥汁米蘭香港米线(太平洋森活天地店),￥42,招牌炸酱小锅米线、萝卜、浓汤鱼汁小锅米线
旧巷口·鲜切牛肉麻辣大拌(太平洋森活天地店),￥44,干拌麻辣味、自助冰粉、杨梅冰汤圆
萨莉亚意式餐厅(百联又一城店),￥55,蒜香蜗牛、鸡翅、蘑菇汤
云里·云南铜锅米线(创智天地店),￥45,招牌铜锅牛肉米线、包浆豆腐、香草铜锅米线
四季小馆,￥52,招牌小炒黄牛肉、金钱蛋、重庆酸菜鱼
八岛咖喱,￥41,手作猪排咖喱、唐扬炸鸡咖喱、南蛮鸡块
焖派地锅(五角场店),￥77,地锅鸡、锅贴饼、干豆角
CP男执事咖啡屋,￥44,Zero特调咖啡、拿铁咖啡、巧克力榛子
桃屋(政民路店),￥51,肉豆腐锅、大阪风味煎饼、鳗鱼蛋饭
COFFEE BEAR,￥40,爱尔兰咖啡、生椰拿铁、热美式
十八度雨林·18°Rainforest(大学路店),￥48,FUN巧克力装、中秋马卡龙、冰激凌
锅佳佳转转锅(五角场百联店),￥53,黄牛黑毛肚、精品响铃卷、脆皮鱼豆腐
舞蔬尚饺(国安路店),￥62,招牌灌汤小笼包、手工蒸饺、素蟹粉汤包
烧鸟一番(合生汇店),￥41,鸡心、鸡胗、五花肉
小喜田(创智天地店),￥50,野蘑菇鸡肉炒米粉、野蘑菇牛肉炒米粉、椒麻鸡
星巴克臻选(上海合生汇1F店),￥52,烟熏司考奇拿铁、酸柠浮冷萃、瑰蜜焦香拿铁
野串东北烧烤(五角场店),￥58,招聘东北五花肉、羊肉串、盐水毛豆腐花生
满记甜品(五角场万达二店),￥42,芒果白雪黑糯米甜甜、满记杨枝甘露、榴莲忘返白雪冰
必胜客(WOW百联ZX造趣场店),￥45,意式风味肉酱面、芝加哥风味薯格、芝士焗烤玉米粒
干老庆贵州留一手烤鱼·贵州地摊火锅(杨浦店),￥70,江团、烤鱼配菜浇头、黑鱼
赣肴臻湘·长沙土菜·江西菜,￥60,赣湘鱼籽鱼泡、原味腊猪脚、湘味农家小炒肉
Wagas沃歌斯(叠纸店),￥78,泰式黄咖喱鲷鱼虾仁饭、煎大虾番茄腰果意式细面、肉酱意面
锅气·湖南小饭店(太平洋森活天地店),￥51,招牌小炒黄牛肉、阳雀湖辣椒炒肉、肉汤炖萝卜
Homeless Cafe&Bar(大学路店),￥77,薯条、薄荷岛、cocktail-明天
珍花溪牛肉汤·锅(五角场店),￥68,贵州红酸汤锅底、招牌红烧牛肉粉、飘香牛肚粉
TOGO TACO(大学路店),￥72,墨西哥脆壳原味牛肉taco、芝士酱玉米片、双层芝士鸡肉薄饼
阿平牛腩煲(城市集市合生汇店),￥58,招牌牛筋牛腩煲、净萝卜、招牌双人牛杂煲
东方一串·龙虾烧烤·特色烤鱼(政立路店),￥65,蜂蜜面包片、羊肉串、串烧五花肉
Yoga‘s 粉分子(五角场店),￥40,鸡肉炒米粉、淀粉肠、馕披萨
D·March Zakka&Coffee,￥40,拿铁、澳白、栀子花香拿铁
长海小馆,￥67,青椒香干肉丝、红烧海杂鱼、本帮红烧肉
湘土人家(长海路店),￥77,国民辣椒炒肉、砂锅芸豆丝、生态双色鱼头
旧巷口·鲜切牛肉麻辣大拌(合生汇店),￥43,麻辣大拌、锅巴土豆、桂花酒酿冰汤团
小芙澜湘菜馆(国霞路店),￥78,香辣金钱蛋、小炒新鲜黄牛肉、擂辣椒皮蛋
外婆经典小菜(五角场店),￥69,外婆红烧肉、手撕包菜、酒香草头
木头屋北大荒人(政民路店),￥64,锅包肉、地三鲜、东北大拉皮
豆福咖啡食堂(江湾里店),￥65,葱油拌意面配沙朗牛排、低温厚切梅花肉炸猪排、酒鬼美式
ALL THE LOVERS Deep(大学路店),￥78,松子海苔芝士蛋糕、三月弥生、爱丽丝仙境
CoCo壱番屋(百联又一城店),￥51,炸猪排咖喱饭、炸猪排蛋包饭、印度风鸡肉咖喱蛋包饭
成都你六姐·牛肉冒菜(太平洋森活天地店),￥45,冰粉、麻辣牛肉、香菜牛肉
GODIVA(合生汇店),￥43,黑巧软冰淇淋、软冰淇淋除联名款、草莓双重巧克力软冰淇淋
悠乐蛋糕Delicake(第一食品店),￥45,芒果拿破仑、双重芝士蛋糕、草莓酸奶油蛋糕
哈根达斯(百联又一城店),￥71,心花怒放、花团锦簇冰淇淋火锅、夏威夷果仁品脱
La Repete(百联又一城店),￥72,LR原味千层蛋糕、玫瑰千层蛋糕、提拉米苏千层蛋糕
蟹黄鱼·海派深夜面馆(江湾里店),￥58,蟹粉黄鱼面、熟醉大闸蟹、葱油拌面
Kyochon1991校村(五角场店),￥56,招牌香甜鸡翅、原味鸡翅、蜂蜜鸡翅
KAXKAR塔米·新疆烤肉(政民路店),￥55,羊肉串、碎肉抓饭、大盘鸡
嘻小北·兰州清汤牛肉面(太平洋森活天地店),￥40,兰州清汤牛肉面、牛肉面、羊肉
顺和斋清真牛羊肉馆(市光路店),￥70,羊肉串、羊肉汤、羊肉烧卖
% Arabica阿拉比卡咖啡(大学路店),￥43,西班牙拿铁、抹茶软雪糕、京都拿铁
W·法式蛋糕(上海店),￥66,爱心玫瑰、破碎蝴蝶、心心相印蛋糕
煲仔皇(太平洋森活天地店),￥41,【镇店】腊味四宝煲仔饭、腊味皇煲煲仔饭、香菇滑鸡煲仔饭
爱晒龙虾·烧烤·大排档(五角场店),￥60,羊肉串、羊蝎子锅、羊上脑嫩肉
喜米香港茶餐厅(太平洋森活天地店),￥40,黯然销魂叉烧蛋饭小份、招牌炸猪排煎蛋饭、港式柠檬茶
玖椿TSUBAKI,￥77,鹅肝肥牛定食、肥牛饭、现烤拼盘鳗鱼饭定食
Wagas沃歌斯(尚浦汇店),￥73,泰式大虾泰碗配辣味青柠水、三文鱼羽衣甘蓝色拉、煎牛肉坚果米饭能量碗
味千拉面(五角场万达店),￥43,大骨浓汤猪软骨拉面、溏心蛋、熊本叉烧拉面
81bakery(关山路店),￥40,红豆碱水包、碱水芝士、南瓜吐司
RISO(百联又一城店),￥40,核桃蔓越莓恰巴塔、黑芝麻贝果、海盐羊角
黑土屯·老朴家铁锅炖(长海路店),￥76,大铁玉米饼、农家笨鸡锅、铁锅炖大鹅
味之都小馆(黄兴店),￥56,白斩鸡、排骨年糕、齐鼎鸡
胡子大厨·超级小炒肉(凯德国正店),￥46,超级小炒肉、好米饭、手撕包菜
81BAKERY(创智天地店),￥44,肉桂卷、开心果奶酥碱水、碱水红豆
富满乐香港排档,￥53,头牌烧鸭、招牌牛肉滑蛋、头抽豉油鸡
萨莉亚意式餐厅(国华广场店),￥46,蒜香面包配蜗牛、肉酱意大利面、茄汁烤翅
