name,avg_price,recommended_dishes
CHAGEE茶姬现萃(五角场万达店),￥18,青梅气泡茶、武夷大红袍茶拿铁、朗姆波士茶
芋小鱼潮汕糖水(太平洋森活天地店),￥21,桃胶、古法银耳汤、薏米
泽田本家·铜锣烧(大学路店),￥26,奥利奥芝士、海盐芝士、黑摩卡
爷爷不泡茶NOYEYENOTEA(上海五角场万达店),￥18,荔枝冰酿、空山栀子、武汉茉莉
喜茶(上海合生汇店),￥20,超多肉芒芒甘露、多肉葡萄（首创）、多肉青提
白玉兰食品甜凤店(合生汇店),￥37,大肉包、蛋黄大烧麦、白脱甜小丸子
KUMO KUMO 甜品·冰淇淋(上海合生汇店),￥36,经典原味芝士蛋糕、芝士牛乳冰淇淋、巧克力芝士蛋糕
b3coffee必三咖啡(华润国华广场店),￥26,瑰夏一豆三吃、瑰夏gelato手工冰淇淋、瑰夏拿铁
胡饗姨南昌绝味水煮(五角场店),￥30,油炸脚板、水煮八宝、手工藕丸
邕yong味张记·广西老友粉(五角场店),￥33,老友猪肉扁粉、老友牛肉扁粉、老友猪杂扁粉
柴爿巷·香酥鸡&馄饨(城市集市合生汇店),￥29,鲜肉小馄饨、香酥鸡、炸串三兄弟
西园抹茶专门店(五角场店),￥28,
COFFEE BEAR,￥40,
AOKKA COFFEE(江湾里Meet678店),￥34,
fufu gelateria意式冰淇淋(合生汇店),￥34,
DQ·蛋糕·冰淇淋(五角场万达店),￥26,
马记永·兰州牛肉面(合生汇店),￥36,马记永兰州牛肉面、钢丝小串、红枣茶
东泰祥生煎馆(大润发黄兴店),￥29,特色生煎、葱油拌面、鲜肉小馄饨
圓心糖水局·甜品铺(大学路店),￥30,金玉满堂、芒果糯米冰、麻薯冰豆花
茉莉奶白(上海合生汇店),￥18,茉莉奶白、一朵茉莉花、开心果茉莉椰
一心斋(第一食品美食城店),￥24,牛肉煎包、牛肉锅贴、牛肉粉丝汤
DQ·蛋糕·冰淇淋(合生汇店),￥27,经典奥利奥、抹茶巴旦木、脆皮冰淇淋
醉面(太平洋森活天地店),￥26,招牌肉酱面、炸串、金汤小酥肉
米村拌饭(五角场合生汇店),￥35,香辣鱿鱼、烤牛肉拌饭、芝士年糕鸡
大芒人·斯利美甜品店(五角场店),￥28,超级芒果冰、芋头芋圆冰、红豆综合冰
沪上唐味·西安面庄·手工面(杨浦万达广场店),￥28,油泼biangbiang三合一、优质白吉饼肉夹馍、长安流水席骨汤臊子面
肯德基(五角场万达店),￥31,吮指原味鸡(1块装)、香辣鸡腿堡、新奥尔良烤翅（2块装）
Uniboba优尼波巴(上海五角场万达店),￥18,Boba黑糖水牛乳、Boba牛乳咸法酪、Boba水牛乳黑糖丸
晓瓯·面馆,￥27,招牌辣酱面、酱爆猪肝拌面、本帮辣肉面
裕莲茶楼(江湾里店),￥27,焦糖可颂蛋挞、版纳溏心桃胶·岩韵大红袍、奇脆可可泡芙
读酥世家(太平洋森活店),￥25,手工蛋挞酥、蟹黄锅巴、招牌猪扒包
镇西口·山西手工面·风味小吃(城市集市合生汇店),￥25,油泼刀削面、山西肉臊子面、杂酱番茄拌面
小满手工粉(城市集市合生汇店),￥35,一口小酥肉、三颗番茄牛肋条粉、8小时慢炖半筋半肉手工粉
懒山碗·云南手作酸奶(上海国华广场店),￥22,玫花三弄 ·玫瑰山竹青柑三匙雪、抹茶白柚 ∙ 长糯米雪流沙、青玫竹马 ∙玫瑰山竹普洱雪流沙
手心兔·小吐司うさぎの杜ベ一カリ一(五角场店),￥33,千层小金砖吐司、芝士巴斯克小吐司、日式抹茶巴斯克小吐司
读酥世家(百联又一城店),￥25,手工蛋挞酥、黄油年糕、海苔小贝
蠡婆婆鲜烫牛肉米线(杨浦国权东路店),￥22,招牌肉酱米线、卤香牛腩拌面、鲜烫牛肚米线
曾三仙米线(国华广场店),￥29,酸汤三仙、火锅酥肉、番茄黑豆花牛肉米线
喜家德虾仁水饺(城市集市合生汇店),￥34,招牌虾三鲜饺、西芹鲜肉水饺、凯里鲜蔬锅
喜家德虾仁水饺(国华广场店),￥35,西芹鲜肉饺、全虾水饺、喜三鲜饺
东方墨蘭(上海合生汇店),￥17,玉生青提、见山青提、喜上菩提
柠檬向右(合生汇一店),￥19,水金龟柠檬茶、蜜桃乌龙柠檬茶、雀舌花柠檬茶
腔调面·老上海本帮面(国权路店),￥33,小牛汤、老上海厚切炸猪排、麻酱拌面十酱爆猪肝浇头
渝川川老成都脑花面(杨浦店),￥28,一口入魂脑花面、钵钵鸡（鸡胗）、奶茶冰粉
和府捞面(杨浦国华广场店),￥33,养生番茄汤肥牛面、草本酸辣肥牛面、当归猪骨汤猪软骨面
南昌绝味水煮·油炸麻辣烫(五角场店),￥22,云南爆浆小豆腐、豆肠、铁板爆汁烤冷面
麦当劳(五角场万达店),￥28,薯条、巨无霸、麦乐鸡（5块）
陳香貴·兰州牛肉面(太平洋森活天地店),￥33,牛骨清汤兰州牛肉面、钢钎羊肉串、红枣茶
俏阿妮·云南生烫牛肉米线(城市集市合生汇店),￥33,招牌生烫牛肉米线、生烫牛肉牛线、招牌铜锅泡椒牛肉米线
angtea艾熟茶(上海五角场万达店),￥16,金牡丹巴特奶香、金牡丹熟成茶冰、枫香马斯卡彭
小杨生煎(五角场万达店),￥31,小杨生煎、老鸭粉丝汤、藤椒大虾生煎
Yoga‘s 粉分子(五角场店),￥40,鸡肉炒米粉、淀粉肠、馕披萨
D·March Zakka&Coffee,￥40,拿铁、澳白、栀子花香拿铁
囍年糕(五角场店),￥28,手工紫米糕、大肉粽、驴打滚
山崎面包(五角场万达店),￥32,山崎皇后吐司、海盐法国、奶酪香蒜包
五道口枣糕(太平洋森活天地店),￥19,枣糕、杂粮枣糕、奶香核桃枣糕
LELECHA乐乐茶(太平洋森活天地店),￥24,牛油果熏鸡肉软包、生牛乳枕头吐司、奶麻薯脏脏流心吐司
鲜得来排骨年糕(城市集市合生汇店),￥27,排骨年糕、单档汤、砂锅小馄饨
KOI Thé(百联又一城店),￥22,黄金珍奶、【甜饼怪热爱】饼干奶茶、红茶玛奇朵
一姐砂锅麻辣烫与毛肚火锅,￥30,砂锅麻辣烫、纯笨乎毛肚串、内蒙直购羊排卷
大胡子冰可可(大学路店),￥19,小胡子冰可可、大胡子可可奶、椰子薄荷冰巧克力
霸王茶姬(上海五角场万达步行街店),￥21,山野栀子、新品纯茶、【久别重逢】花田乌龙
大隐书局(创智天地店),￥39,热拿铁、轻轻茉莉、刺梨冰茶
遇见小面(太平洋森活天地店),￥30,红碗豌杂面、金碗酸辣粉、老麻抄手
老虎面馆(邯郸路店),￥34,老虎面、红烧牛肉面、肥肠面
大壶春生煎(五角场万达广场店),￥23,鲜肉生煎、咖喱牛肉粉丝汤、鲜虾双拼
